,article,article_id,onclick
96,김정은동지께 베네수엘라 까라보보주 나구아나구아시가 최고훈장을 수여해드리였다,AR0126287,"fn_showArticle(""AR0126287"", """", ""NT21"", ""L"")"
97,"중국공산당 중앙위원회 총서기,중화인민공화국 주석 습근평동지가 조선을 방문한다",AR0126286,"fn_showArticle(""AR0126286"", """", ""NT21"", ""L"")"
98,김재룡동지 덕천지구탄광련합기업소 현지료해,AR0126281,"fn_showArticle(""AR0126281"", """", ""NT21"", ""L"")"
99,량면술책은 통하지 않는다--조선중앙통신사 론평,AR0126277,"fn_showArticle(""AR0126277"", """", ""NT21"", ""L"")"
100,"조선에서 도(직할시),시(구역),군인민회의 대의원선거를 위한 중앙선거지도위원회를 조직",AR0126169,"fn_showArticle(""AR0126169"", """", ""NT21"", ""L"")"
101,최룡해동지 조선과 까자흐스딴사이의 친선협조관계가 강화발전되리라는 확신 표명,AR0126127,"fn_showArticle(""AR0126127"", """", ""NT21"", ""L"")"
102,최룡해동지 필리핀독립 121돐을 축하,AR0126118,"fn_showArticle(""AR0126118"", """", ""NT21"", ""L"")"
103,전범기를 비호하는 목적은 무엇인가--조선중앙통신사 론평,AR0126117,"fn_showArticle(""AR0126117"", """", ""NT21"", ""L"")"
104,2018년-2019년 조선민주주의인민공화국 1부류축구련맹전소식(14),AR0126278,"fn_showArticle(""AR0126278"", """", ""NT11"", ""L"")"
105,보천보홰불상체육경기대회 도로이어달리기경기 진행,AR0126227,"fn_showArticle(""AR0126227"", """", ""NT11"", ""L"")"
106,2018년-2019년 조선민주주의인민공화국 녀자 1부류축구련맹전소식(12),AR0126226,"fn_showArticle(""AR0126226"", """", ""NT11"", ""L"")"
107,2018년-2019년 조선민주주의인민공화국 1부류축구련맹전소식(13),AR0126058,"fn_showArticle(""AR0126058"", """", ""NT11"", ""L"")"
108,2018년-2019년 조선민주주의인민공화국 녀자 1부류축구련맹전소식(11),AR0126009,"fn_showArticle(""AR0126009"", """", ""NT11"", ""L"")"
109,환경보호에 이바지할 연구성과들,AR0126297,"fn_showArticle(""AR0126297"", """", ""NT09"", ""L"")"
110,평양국제건강 및 의료기구부문 과학기술전시회 개막,AR0126283,"fn_showArticle(""AR0126283"", """", ""NT09"", ""L"")"
111,새로운 정밀주조석고제조와 주조기술 연구개발,AR0126122,"fn_showArticle(""AR0126122"", """", ""NT09"", ""L"")"
112,《온실남새부문 과학기술토론회-2019》 개막,AR0126095,"fn_showArticle(""AR0126095"", """", ""NT09"", ""L"")"
113,새로운 남새품종육종사업을 활발히--평양남새과학연구소에서,AR0126054,"fn_showArticle(""AR0126054"", """", ""NT09"", ""L"")"
114,도입전망이 큰 새로운 배낭식전동분무기 제작,AR0126038,"fn_showArticle(""AR0126038"", """", ""NT09"", ""L"")"
115,《전국소년과학환상문예작품 및 모형전시회-2019》 진행,AR0125978,"fn_showArticle(""AR0125978"", """", ""NT09"", ""L"")"
116,로씨야에서 통신위성 발사,AR0125784,"fn_showArticle(""AR0125784"", """", ""NT09"", ""L"")"
117,"조선에서 우량한 과일품종 40여개 육종,국가품종으로 등록",AR0125737,"fn_showArticle(""AR0125737"", """", ""NT09"", ""L"")"
118,남부수단에서 정보자료쎈터 설립,AR0125722,"fn_showArticle(""AR0125722"", """", ""NT09"", ""L"")"
119,라오스에서의 관광업발전노력,AR0125994,"fn_showArticle(""AR0125994"", """", ""NT19"", ""L"")"
120,마로끄에서 관광업 장려,AR0125222,"fn_showArticle(""AR0125222"", """", ""NT19"", ""L"")"
121,나날이 인기가 오르는 초경량비행기관광,AR0124762,"fn_showArticle(""AR0124762"", """", ""NT19"", ""L"")"
122,몽골에서의 관광업발전조치,AR0124566,"fn_showArticle(""AR0124566"", """", ""NT19"", ""L"")"
123,탄자니아의 관광업발전조치,AR0124526,"fn_showArticle(""AR0124526"", """", ""NT19"", ""L"")"
124,조선 국가관광총국과 로씨야 관광국사이의 협조에 관한 량해문 조인,AR0122941,"fn_showArticle(""AR0122941"", """", ""NT19"", ""L"")"
